City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
42,Axim,GH,4.87,-2.24,85.24,65,74,4.36,broken clouds
43,Albany,US,42.60,-73.97,63.39,93,53,4.27,broken clouds
44,Hithadhoo,MV,-0.60,73.08,82.38,74,62,15.3,broken clouds
45,Kavieng,PG,-2.57,150.80,83.17,71,80,3.71,broken clouds
46,Agadir,MA,30.42,-9.60,81.05,32,47,1.7,scattered clouds
47,Alappuzha,IN,9.49,76.33,87.01,75,35,7.02,scattered clouds
48,San Cristobal,VE,7.77,-72.22,68.18,96,96,2.53,overcast clouds
49,Salta,AR,-24.79,-65.41,62.58,51,20,3.44,smoke
50,Saint George,US,37.10,-113.58,56.79,40,4,1.99,clear sky
51,Pathein,MM,16.78,94.73,79.84,73,36,3.47,scattered clouds
52,Mataura,NZ,-46.19,168.86,48.31,97,100,2.26,overcast clouds
53,Terney,RU,45.05,136.61,40.15,79,97,5.5,overcast clouds
54,Provideniya,RU,64.38,-173.30,30.99,95,100,17.63,light snow
55,San Rafael,AR,-34.62,-68.33,70.23,35,77,8.37,broken clouds
56,Bilibino,RU,68.05,166.44,-7.47,100,40,5.03,scattered clouds
57,Dakar,SN,14.69,-17.44,86.88,79,0,9.22,clear sky
58,Cockburn Town,TC,21.46,-71.14,79.14,75,95,13.69,light rain
59,Asau,RO,46.43,26.40,52.72,46,13,3.27,few clouds
60,Preston,GB,53.77,-2.72,56.86,93,75,10.36,broken clouds
61,Severo-Kurilsk,RU,50.68,156.12,36.0,63,84,22.1,broken clouds
62,Punta Arenas,CL,-53.15,-70.92,51.91,71,0,11.5,clear sky
63,Kysyl-Syr,RU,63.90,122.76,-20.24,100,15,2.51,few clouds
64,Kapaa,US,22.08,-159.32,79.12,83,75,12.66,broken clouds
65,Broome,US,42.25,-75.83,63.18,81,8,4.0,clear sky
66,Hobart,AU,-42.88,147.33,58.86,85,91,0.0,overcast clouds
67,Ribeira Grande,PT,38.52,-28.70,66.6,82,75,24.16,broken clouds
68,Pereleshino,RU,51.74,40.14,37.9,64,100,8.77,overcast clouds
69,Tuatapere,NZ,-46.13,167.68,47.75,93,79,3.31,broken clouds
70,Saldanha,ZA,-33.01,17.94,65.8,69,40,12.44,scattered clouds
71,Middelburg,ZA,-25.78,29.46,79.48,41,80,16.08,broken clouds
72,Walvis Bay,NA,-22.96,14.51,70.09,51,14,8.75,few clouds
73,Cabo San Lucas,MX,22.89,-109.91,63.61,80,10,5.95,clear sky
74,Itoman,JP,26.12,127.67,75.22,78,75,10.36,broken clouds
75,Harper,LR,4.38,-7.72,82.33,74,89,6.87,light rain
